id,contaminant,limit,amount_released
1,Butane,342.58 LBS/HR,1.0 lbs (est.)
2,Butene,342.58 LBS/HR,130.0 lbs (est.)
3,C5+ (not including benzene),342.58 LBS/HR,255.0 lbs (est.)
4,CO,127.99 LBS/HR,777.0 lbs (est.)
5,Ethylene (gaseous),342.58 LBS/HR,985.0 lbs (est.)
6,NOX,17.72 LBS/HR,108.0 lbs (est.)
7,Butane,25.0 TONS/YR,77.94 lbs (est.)
8,Carbon Monoxide,250.0 TONS/YR,325.57 lbs (est.)
9,Hexane,25.0 TONS/YR,15.51 lbs (est.)
10,Hydrogen Sulfide,0,12.42 lbs (est.)
11,NOX,250.0 TONS/YR,163.08 lbs (est.)
12,Pentane,25.0 TONS/YR,29.5 lbs (est.)
13,Propane,25.0 TONS/YR,74.73 lbs (est.)
14,Sulfur dioxide,25.0 TONS/YR,1143.89 lbs (est.)
15,Carbon Monoxide,8.87 TONS/YR,143.5 lbs (est.)
16,Hydrogen Sulfide,0,11.42 lbs (est.)
17,NATURAL GAS,0.1 TONS/YR,131.53 lbs (est.)
18,Nitrogen Oxides,8.81 TONS/YR,71.35 lbs (est.)
19,Sulfur dioxide,0,1053.94 lbs (est.)
20,Carbon Monoxide,7.89 TONS/YR,63.13 lbs (est.)
21,Hydrogen Sulfide,0.42 TONS/YR,7.46 lbs (est.)
22,NATURAL GAS,5.71 TONS/YR,67.39 lbs (est.)
23,Nitrogen Oxides,1.47 TONS/YR,31.85 lbs (est.)
24,Sulfur dioxide,38.87 TONS/YR,686.71 lbs (est.)
25,Propane,0,5.6 lbs (est.)
26,Propylene (Propene),0,62.4 lbs (est.)
27,Carbon Monoxide,5000.0 lbs,164.42 lbs (est.)
28,Hydrogen Sulfide,100.0 lbs,56.89 lbs (est.)
29,NATURAL GAS,5000.0 lbs,293.44 lbs (est.)
30,Nitrogen Oxides (NOx),5000.0 lbs,82.36 lbs (est.)
31,Sulfur dioxide,500.0 lbs,5247.08 lbs (est.)
32,Opacity,20.0 % op,100.0 % op (est.)
33,Carbon Monoxide,226.9 LBS/HR,24.53 lbs (est.)
34,Hydrogen Sulfide,0.13 LBS/HR,6.88 lbs (est.)
35,NOX,33.0 LBS/HR,4.72 lbs (est.)
36,Sulfur dioxide,10.67 LBS/HR,629.33 lbs (est.)
37,VOC,529.58 LBS/HR,30.69 lbs (est.)
38,Carbon Monoxide,226.9 LBS/HR,21.46 lbs (est.)
39,Hydrogen Sulfide,0.13 LBS/HR,16.2 lbs (est.)
40,NOX,33.0 LBS/HR,4.05 lbs (est.)
41,Sulfur dioxide,10.67 LBS/HR,1494.56 lbs (est.)
42,VOC,529.58 LBS/HR,23.87 lbs (est.)
43,Benzene,37.2 LBS/HR,4.02 lbs (est.)
44,Butanes,26.88 LBS/HR,319.74 lbs (est.)
45,Carbon Monoxide,23.17 LBS/HR,748.56 lbs (est.)
46,Hydrogen Sulfide,2.72 LBS/HR,0.8 lbs (est.)
47,NOX,4.48 LBS/HR,106.07 lbs (est.)
48,Pentanes,26.88 LBS/HR,25.73 lbs (est.)
49,Propane,26.88 LBS/HR,235.02 lbs (est.)
50,Sulfur dioxide,1.62 LBS/HR,4839.38 lbs (est.)
51,Unspeciated VOCs,26.88 LBS/HR,187.33 lbs (est.)
52,NATURAL GAS,1.25 TONS/YR,684.519 lbs (est.)
53,Carbon Monoxide,1.71 LBS/HR,7.61 lbs (est.)
54,Nitrogen Oxides,0.88 LBS/HR,0.89 lbs (est.)
55,Opacity,15.0 % op,25.0 % op (est.)
56,VOCs,2.69 LBS/HR,0.05 lbs (est.)
57,Carbon Monoxide,4.37 LBS/HR,1600.0 lbs (est.)
58,Nitrogen Oxides,18.95 LBS/HR,2000.0 lbs (est.)
4120,Sewage,0,2000.0 gals
59,Carbon Monoxide,0,498.0 lbs (est.)
60,Hydrogen Sulfide,0,11.2 lbs (est.)
61,NATURAL GAS,0,479.0 lbs (est.)
62,NOX,0,250.0 lbs (est.)
63,Sulfur dioxide,0,1060.0 lbs (est.)
64,Carbon Monoxide,0.033 LBS/HR,24.0 lbs (est.)
65,Hydrogen Sulfide,0.1 LBS/HR,119.9 lbs (est.)
66,Non-Methane Non-Ethane Natural Gas,0.2 LBS/HR,178.0 lbs (est.)
67,Oxides of Nitrogen (NOx),0.1 LBS/HR,2.7 lbs (est.)
68,Sulfur dioxide,3.04 LBS/HR,11058.0 lbs (est.)
69,Carbon Monoxide,0,1.53 lbs (est.)
70,Hydrogen Sulfide,0,104.0 lbs (est.)
71,NATURAL GAS,0,52.1 lbs (est.)
72,NOX,0,80.7 lbs (est.)
73,Sulfur dioxide,0,9800.0 lbs (est.)
74,Isoprene,0,0.001 lbs (est.)
75,Opacity,20.0 % op,37.0 % op (est.)
76,"Butane, N-",0,49.2 lbs (est.)
77,"Butane, i",0,17.4 lbs (est.)
78,Carbon Monoxide,0,182.1 lbs (est.)
79,Hydrogen Sulfide,0,20.89 lbs (est.)
80,Nitrogen dioxide,0,22.8 lbs (est.)
81,Nitrogen oxide,0,68.4 lbs (est.)
82,"Pentane, N-",0,18.6 lbs (est.)
83,Propane,0,47.7 lbs (est.)
84,Sulfur dioxide,0,1965.68 lbs (est.)
85,hexanes +,0,38.2 lbs (est.)
86,"pentane, iso-",0,17.5 lbs (est.)
87,Carbon Monoxide,0,33.6 lbs (est.)
88,Hydrogen Sulfide,0,12.45 lbs (est.)
89,NATURAL GAS,0,31.29 lbs (est.)
90,Nitrogen oxide,0,3.92 lbs (est.)
91,Sulfur dioxide,0,1169.79 lbs (est.)
92,Sulfur dioxide,98.44 LBS/HR,654.1 lbs (est.)
93,NATURAL GAS,0.63 TONS/YR,7303.34 lbs (est.)
94,Carbon Monoxide,0,9.78 lbs (est.)
95,Hydrogen Sulfide,0,6.67 lbs (est.)
96,Nitrogen Oxides,0,1.14 lbs (est.)
