id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
1,CHEVRON PHILLIPS CHEMICAL CEDA,RN103919817,"BAYTOWN, HARRIS",EMISSIONS EVENT,FINAL REPORT,"08/27/2014 
		9:44AM","08/27/2014 
                
",emissions-event
2,MIDWAY FOOD STORE,RN103024287,", TARRANT",,INITIAL REPORT,08/08/2014,08/08/2014,none
3,LUCKY TEXAN 1,RN105990394,", DALLAS",,INITIAL REPORT,07/16/2014,07/16/2014,none
4,SAND HILLS GAS PLANT,RN102552031,"CRANE, CRANE",EMISSIONS EVENT,INITIAL REPORT,"08/28/2014 
		11:00PM","08/29/2014 
                
",emissions-event
5,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"08/29/2014 
		1:34PM","08/29/2014 
                
",emissions-event
6,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"08/29/2014 
		3:30PM","08/29/2014 
                
",emissions-event
7,EXXONMOBIL CHEMICAL BAYTOWN CH,RN102574803,"BAYTOWN, HARRIS",EMISSIONS EVENT,FINAL REPORT,"08/28/2014 
		10:00PM","08/28/2014 
                
",emissions-event
8,E WADDELL RANCH BAT 265,RN102498649,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"08/29/2014 
		5:00PM","09/03/2014 
                
",emissions-event
9,RED RIVER ARMY DEPOT,RN100224104,"TEXARKANA, BOWIE",AIR STARTUP,FINAL REPORT,"08/30/2014 
		2:00PM","08/30/2014 
                
",air-startup
10,TOTAL PETRO CHEMICALS & REFINI,RN102457520,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		2:50AM","08/30/2014 
                
",emissions-event
11,VALERO CORPUS CHRISTI REFINERY,RN100211663,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		10:30AM","08/30/2014 
                
",emissions-event
12,KATT BOOSTER STATION,RN100210780,"STILES COMMUNITY, REAGAN",EMISSIONS EVENT,FINAL REPORT,"08/29/2014 
		1:30PM","08/29/2014 
                
",emissions-event
13,LONE STAR PROCESSING FACILITY,RN106476377,"TULETA, BEE",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		3:02PM","08/30/2014 
                
",emissions-event
14,DOW TEXAS OPERATIONS FREEPORT,RN100225945,"FREEPORT, BRAZORIA",EMISSIONS EVENT,INITIAL REPORT,"08/30/2014 
		4:00PM","09/02/2014 
                
",emissions-event
15,SEALY SMITH COMPRESSOR STATION,RN102514460,"MONAHANS, WARD",EMISSIONS EVENT,FINAL REPORT,"08/29/2014 
		7:26PM","08/30/2014 
                
",emissions-event
16,WILLARD CO2 SEPARATION PLANT,RN102533445,"DENVER CITY, YOAKUM",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		1:00AM","08/31/2014 
                
",emissions-event
17,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		6:00AM","08/30/2014 
                
",emissions-event
18,HOUSTON REFINING,RN100218130,"HOUSTON, HARRIS",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		11:44AM","08/30/2014 
                
",emissions-event
19,SANDOW STEAM ELECTRIC STATION,RN102147881,"ROCKDALE, MILAM",EXCESS OPACITY,INITIAL REPORT,"08/30/2014 
		9:24PM","08/30/2014 
                
",excess-opacity
20,TEXON COMPRESSOR STATION,RN102581303,"BIG LAKE, REAGAN",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		9:00PM","08/31/2014 
                
",emissions-event
21,JT MCELROY 205 TB,RN102293883,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"08/30/2014 
		5:00PM","08/31/2014 
                
",emissions-event
22,VALERO REFINING TEXAS CITY REF,RN100238385,"TEXAS CITY, GALVESTON",EMISSIONS EVENT,INITIAL REPORT,"08/31/2014 
		1:28AM","08/31/2014 
                
",emissions-event
23,BLALOCK BOOSTER STATION,RN100219617,"GARDEN CITY, GLASSCOCK",EMISSIONS EVENT,FINAL REPORT,"08/31/2014 
		7:30AM","08/31/2014 
                
",emissions-event
24,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,FINAL REPORT,"08/31/2014 
		5:11PM","08/31/2014 
                
",emissions-event
25,RED RIVER ARMY DEPOT,RN100224104,"TEXARKANA, BOWIE",AIR STARTUP,FINAL REPORT,"09/01/2014 
		1:30PM","09/01/2014 
                
",air-startup
26,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,INITIAL REPORT,"08/31/2014 
		4:00PM","09/01/2014 
                
",emissions-event
27,SAND HILLS GAS PLANT,RN102552031,"CRANE, CRANE",EMISSIONS EVENT,INITIAL REPORT,"08/31/2014 
		8:00PM",09/01/2014,emissions-event
28,SAND HILLS GAS PLANT,RN102552031,"CRANE, CRANE",EMISSIONS EVENT,INITIAL REPORT,"08/31/2014 
		8:00PM",09/01/2014,emissions-event
29,DUPONT SABINE RIVER WORKS,RN100542711,"ORANGE, ORANGE",EMISSIONS EVENT,FINAL REPORT,"09/01/2014 
		9:20AM","09/01/2014 
                
",emissions-event
30,GOODRICH COMPRESSOR STATION,RN100218494,"GOODRICH, POLK",EMISSIONS EVENT,INITIAL REPORT,"08/31/2014 
		9:08PM","09/01/2014 
                
",emissions-event
31,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/01/2014 
		11:11AM","09/01/2014 
                
",emissions-event
32,BLALOCK BOOSTER STATION,RN100219617,"GARDEN CITY, GLASSCOCK",EMISSIONS EVENT,INITIAL REPORT,09/01/2014,"09/01/2014 
                
",emissions-event
33,JE PARKER TANK BATTERY,RN102565413,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"09/01/2014 
		8:45AM","09/03/2014 
                
",emissions-event
34,GENERIC INCIDENT ZIP CODE 7682,RN104041850,"BRADY, MCCULLOCH",EMERGENCY RESPONSE,INITIAL REPORT,"08/29/2014 
		5:23PM","08/29/2014 
                
",emergency-response
35,HEADLEE GAS PLANT,RN100218890,"ODESSA, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/01/2014 
		1:40PM","09/02/2014 
                
",emissions-event
36,NORBORD TEXAS NACOGDOCHES,RN100543040,"NACOGDOCHES, NACOGDOCHES",MAINTENANCE,INITIAL REPORT,"09/02/2014 
		9:30AM","09/02/2014 
                
",maintenance
37,RUSSELL COMPRESSOR STATION,RN102554243,"DENVER CITY, GAINES",EMISSIONS EVENT,FINAL REPORT,"09/01/2014 
		10:30PM","09/02/2014 
                
",emissions-event
38,DOW TEXAS OPERATIONS FREEPORT,RN100225945,"FREEPORT, BRAZORIA",MAINTENANCE,INITIAL REPORT,"09/10/2014 
		12:01AM","10/01/2014 
                
",maintenance
39,GENERIC INCIDENT ZIP CODE 7838,RN104050372,"ROBSTOWN, NUECES",EMERGENCY RESPONSE,INITIAL REPORT,"08/01/2014 
		6:25AM","08/01/2014 
                
",emergency-response
40,SEALY SMITH COMPRESSOR STATION,RN102514460,"MONAHANS, WARD",EMISSIONS EVENT,FINAL REPORT,"09/01/2014 
		3:12PM","09/01/2014 
                
",emissions-event
41,SEALY SMITH COMPRESSOR STATION,RN102514460,"MONAHANS, WARD",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		12:13PM","09/02/2014 
                
",emissions-event
42,AIR LIQUIDE LARGE INDUSTRIES U,RN100233998,"PASADENA, HARRIS",AIR STARTUP,INITIAL REPORT,"09/13/2014 
		7:00AM","09/14/2014 
                
",air-startup
43,SAINT JO COMPRESSOR STATION,RN105853097,"SAINT JO, MONTAGUE",EMISSIONS EVENT,FINAL REPORT,"09/01/2014 
		12:53PM","09/02/2014 
                
",emissions-event
44,GENERIC INCIDENT ZIP CODE 7970,RN105219364,", MIDLAND",,INITIAL REPORT,08/31/2014,08/31/2014,none
45,HARRISON 29 28 1H TANK BATTERY,RN107698128,"MENTONE, LOVING",EMISSIONS EVENT,FINAL REPORT,"08/20/2014 
		3:15PM","08/21/2014 
                
",emissions-event
46,WEBB COUNTY WATER UTILITIES,RN102698719,"RIO BRAVO, WEBB",,INITIAL REPORT,09/02/2014,09/02/2014,none
47,GENERIC INCIDENT ZIP CODE 7970,RN105219364,", MIDLAND",,INITIAL REPORT,09/02/2014,12/31/3000,none
48,GENERIC INCIDENT ZIP CODE 7976,RN104057047,"ODESSA, ECTOR",,INITIAL REPORT,09/02/2014,12/31/3000,none
49,NASA JOHNSON SPACE CENTER,RN100665579,"HOUSTON, HARRIS",MAINTENANCE,INITIAL REPORT,"09/18/2014 
		12:00PM","09/18/2014 
                
",maintenance
50,CITY OF PEARSALL WWTP,RN103016275,"PEARSALL, FRIO",WASTEWATER BYPASS,INITIAL REPORT,"08/18/2014 
		7:45AM","08/18/2014 
                
",wastewater-bypass
51,MCELROY SECTION 199 EMERGENCY ,RN102297827,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		8:40AM","09/02/2014 
                
",emissions-event
52,JT MCELROY 202 TB,RN102303336,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		8:40AM","09/02/2014 
                
",emissions-event
53,MALLET CO2 RECOVERY PLANT,RN102205119,"SUNDOWN, HOCKLEY",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		9:05AM","09/02/2014 
                
",emissions-event
54,CITY OF PEARSALL WWTP,RN103016275,"PEARSALL, FRIO",WASTEWATER BYPASS,INITIAL REPORT,"08/27/2014 
		7:30AM","08/27/2014 
                
",wastewater-bypass
55,ENTERPRISE PRODUCTS OPERATING ,RN104201801,", HARRIS",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		9:30AM","09/03/2014 
                
",emissions-event
56,GOLDSMITH LANDRETH DEEP UNIT S,RN103024170,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		10:00AM","09/02/2014 
                
",emissions-event
115,CITY OF SINTON,RN101401057,"SINTON, SAN PATRICIO",BOIL WATER NOTICE (BWN),FINAL REPORT,09/02/2014,09/04/2014,boil-water-notice-bwn
57,GOLDSMITH LANDRETH DEEP UNIT S,RN102752920,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		10:00AM","09/02/2014 
                
",emissions-event
58,GSMITH LANDRETH DEEP ST12,RN102416013,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/02/2014 
		10:00AM","09/02/2014 
                
",emissions-event
