Recipient,Award amount,Date awarded,Amount of award disbursed,End date,Award Status,Average Cost Per Job,New jobs required,New jobs counted,Jobs outstanding
Bank of America Corporation,"$20,000,000",01/01/2005,"$20,000,000",12/31/2009,Terminated,"$2,667","5,500","3,876","1,624"
Hewlett-Packard Company,"$5,000,000",10/10/2006,"$3,000,000",02/12/2008,Terminated,"$11,905",N/A,N/A,N/A
"Maxim Integrated Products, Inc.","$5,000,000",05/02/2007,"$2,000,000",06/04/2008,Terminated,"$5,000",N/A,N/A,N/A
Lockheed Martin Corporation,"$4,000,000",04/15/2007,"$4,000,000",12/19/2013,Terminated,"$7,273",550,305,245
Sino Swearingen Aircraft Corporation,"$2,500,000",06/28/2006,$0,08/14/2007,Terminated,"$2,210",N/A,N/A,N/A
Nationwide Mutual Insurance Company,"$2,500,000",01/22/2010,"$1,200,000",01/27/2011,Terminated,"$4,545",N/A,N/A,N/A
SunPower Corporation,"$2,500,000",11/19/2010,"$1,000,000",02/10/2012,Terminated,"$5,556",N/A,N/A,N/A
"VCE Company, LLC","$2,450,000",10/01/2010,"$1,000,000",12/14/2012,Terminated,"$5,645",334,130,204
"Lorimer, LLC","$1,500,000",05/01/2010,"$750,000",04/25/2012,Terminated,"$3,750",170,28,142
"Latex Foam International Holdings, Inc.","$1,060,000",10/01/2010,"$350,000",01/31/2022,Inactive,"$5,579",30,1,29
HelioVolt Corporation,"$1,000,000",03/21/2008,"$500,000",06/18/2013,Terminated,"$6,329",158,51,107
"McLane Advanced Technologies, LLC","$1,000,000",11/02/2009,"$500,000",02/28/2011,Terminated,"$4,444",N/A,N/A,N/A
Martifer-Hirschfeld Energy Systems LLC,"$845,000",09/09/2008,"$500,000",02/26/2014,Terminated,"$3,756",184,48,136
Gulfstream Aerospace Services Corporation,"$750,000",02/22/2008,"$375,000",12/18/2009,Terminated,"$5,000",N/A,N/A,N/A
"FlightSafety International, Inc.","$720,000",04/16/2009,$0,02/01/2011,Terminated,"$5,760",25,0,25
"Coll Materials Exchange, LLC","$550,000",04/05/2011,"$200,000",01/31/2022,Inactive,"$4,955",95,0,95
"Trace Engines, LP","$456,000",08/08/2006,"$250,000",12/06/2012,Terminated,"$4,000",74,24,50
"KLN Steel Products Company, LLC","$450,000",08/04/2008,"$450,000",01/31/2017,Inactive,"$2,885",81,0,81
"Zarges Aluminum Systems, LLC","$400,000",11/17/2009,"$200,000",12/14/2012,Terminated,"$4,000",47,9,38
"idX San Antonio, LLC","$360,000",02/28/2011,"$125,000",02/26/2014,Terminated,"$2,880",40,28,12
"Green Star Products, Inc.","$350,000",06/01/2010,"$175,000",03/08/2012,Terminated,"$2,966",20,0,20
"Albany Engineered Composites, Inc.","$300,000",01/24/2008,"$300,000",04/12/2011,Terminated,"$2,190",0,0,0
"Alloy Polymers, Inc.","$200,000",10/12/2006,"$100,000",07/09/2010,Terminated,"$3,846",52,56,-4
"The Home Depot, Inc.","$8,500,000",07/31/2004,"$8,500,000",11/06/2013,Completed early due to surplus jobs created,"$10,083",843,901,-58
Lonestar Education and Research Network,"$7,281,000",02/28/2005,"$7,281,000",12/06/2013,Completed,N/A,N/A,N/A,N/A
TIGRE Institutions - Lonestar Education and Research Network,"$2,500,000",03/21/2005,"$2,500,000",12/17/2007,Completed,N/A,N/A,N/A,N/A
Texas Energy Center (TxEC),"$3,600,000",02/01/2004,"$3,600,000",08/14/2013,Completed early due to surplus jobs created,"$2,400","1,100","1,894",-794
"T-Mobile USA, Inc.","$2,150,000",11/08/2005,"$2,150,000",01/30/2012,Completed early due to surplus jobs created,"$2,515",855,803,52
Baylor College of Medicine,"$2,000,000",03/01/2004,"$2,000,000",10/30/2009,Completed,N/A,N/A,N/A,N/A
Maxim Integrated Products,"$1,500,000",12/22/2004,"$1,500,000",01/31/2012,Completed,"$3,000",500,470,30
Raytheon Company,"$1,000,000",08/31/2005,"$1,000,000",01/31/2012,Completed,"$5,000",200,106,94
"INEOS USA, LLC","$750,000",04/30/2005,"$750,000",01/31/2010,Completed,"$5,000",150,150,0
"United States Bowling Congress, Inc.","$610,000",05/28/2009,"$305,000",01/31/2014,Completed,"$3,486",175,153,22
"Nationstar Mortgage, LLC","$560,000",07/01/2010,"$560,000",01/31/2014,Completed,"$1,400",400,"1,558","-1,158"
"Sanderson Farms, Inc.","$500,000",03/10/2006,"$500,000",01/31/2010,Completed,$381,"1,312","1,112",200
"Cabela's Retail TX, L.P.","$400,000",11/10/2004,"$400,000",03/01/2009,Completed,"$1,000",400,241,159
Univ. of Texas System (for UT-Dallas),"$50,000,000",03/01/2004,"$50,000,000",Not specified,Active,N/A,N/A,N/A,N/A
"Sematech, Inc.","$40,000,000",01/01/2004,"$40,000,000",05/31/2015,Active,"$10,000",0,0,0
Lexicon Genetics Inc.,"$35,000,000",07/15/2005,"$35,000,000",01/31/2028,Active,"$21,658",125,0,125
Texas A&M University System,"$15,000,000",07/15/2005,"$15,000,000",01/31/2028,Active,"$4,433","1,676",0,"1,676"
"Triumph Aerostructures, LLC","$35,000,000",02/26/2004,"$35,000,000",12/31/2019,Active,"$11,667","3,000",367,"2,633"
Univ. of Texas System (for UT Health Science Center and M.D. Anderson Cancer Center),"$25,000,000",07/29/2005,"$25,000,000",07/29/2025,Active,"$11,101","2,252","3,644","-1,392"
"Rackspace US, Inc.","$22,000,000",08/01/2007,"$8,500,000",01/31/2022,Active,"$5,500","1,225","2,041",-816
Apple Inc.,"$21,000,000",03/05/2012,"$5,250,000",01/31/2028,Active,"$5,777",Not yet required,Not yet required,N/A
JPMorgan Chase Bank & Co.,"$15,000,000",08/31/2005,"$15,000,000",01/31/2016,Active,"$3,571","4,200","14,393","-10,193"
"Chevron U.S.A., Inc.","$12,000,000",06/25/2013,"$3,000,000",01/31/2023,Active,"$6,849",Not yet required,Not yet required,N/A
"Samsung Austin Semiconductor, LLC","$10,800,000",10/01/2005,"$10,800,000",01/31/2020,Active,"$12,000","1,895","2,358",-463
"Caterpillar, Inc. (Seguin)","$8,500,000",08/18/2009,"$2,250,000",01/31/2023,Active,"$4,959","1,579","1,135",444
"Visa U.S.A., Inc.","$7,900,000",01/01/2013,"$1,975,000",03/31/2023,Active,"$9,950",Not yet required,Not yet required,N/A
Hilmar Cheese Company,"$7,500,000",11/30/2005,"$7,500,000",01/31/2021,Active,"$3,823","1,407",979,428
Scott & White Memorial Hospital,"$7,500,000",09/01/2007,"$7,500,000",01/31/2023,Active,"$5,051",662,"2,899","-2,237"
"Tyson Fresh Meats, Inc.","$7,000,000",04/11/2005,"$7,000,000",01/31/2023,Active,"$4,375","1,600","1,451",149
