Biciproblema 1,BP1 estandarizado,Biciproblema 2,BP2 estandarizado ,Biciproblema 3,BP3 estandarizado ,"Venis en bici a la escuela?
Siempre - Nunca - A veces",Cómo venis?,Transporte 1,Transporte 2,Transporte 3,Transporte 4,"A qué distancia
vivís de la escuela?",Distancia en KM,"Tenés un smartphone/
telefono inteligente?"
Soy docente y voy de un centro de esudios a otro,,No me gusta esperar el ómnibus,,Ahorro tiempo y movilidad a otros lugares,,A veces,En ómnibus o bici,,,,,10 cuadras,1,No
Me cansa,,No tengo,,Aprovecho a que me traigan,,Nunca,en moto o auto,,,,,11 cuadras,1.1,Si
Llego tarde si vengo en bici,,Estoy acostumbrada a andar en moto,,aveces está desinflada,,A veces,En moto o en bici,,,,,10 cuadras,1,No se
Caminar es saludable,,Vivo cerca del liceo,,Ayudo a a cuidar el medio ambiente,,Nunca,a pie o en moto,,,,,7 cuadras,0.7,Si
No tengo bici ,,Vivo cerca,,Calles destrozadas,,Nunca,caminando,,,,,15 cuadras,1.5,Si
Vengo con mucha carga,,El estado del tiempo,,Comodidad,,A veces,auto o bici,,,,,20 cuadras,2,No
No contaminar la capa de ozono,,no gastar dinero,,ejercitar el cuerpo,,Siempre,en bici,,,,,10 cuadras,1,Si
No tengo bici ,,Tardo más que en moto,,El estado de las calles no es apto para la circulación,,Nunca,en moto,,,,,"1,5 km",1.5,Si
Me gusta andar en bici,,Hago ejercicio,,El problema es la falta de tiempo,,Siempre,En bici,,,,,"3,5 km",3.5,No
Distancia,,Horario,,El tránsito es complicado,,Nunca,En ómnibus,,,,,12 km,12,No
Me levanto tarde,,No tengo tiempo,,Es más cómodo la moto,,Nunca,En moto,,,,,8 cuadras,0.8,Si
No me gusta andar en bici,,Está rota,,Es más fácil andar en moto,,Nunca,En moto,,,,,10 cuadras,1,Si
No tengo tiempo,,Estoy acostumbrado a andar en moto,,Es más práctica la moto,,Nunca,En moto,,,,,8 cuadras,0.8,Si
Tengo moto,,Falta de tiempo,,Es más rápida la moto,,Nunca,En moto,,,,,2 km,2,Si
Vivo lejos,,Porque me la pueden robar,,Es más rápido andar en moto,,Nunca,En moto,,,,,16 cuadras,1.6,No
No tengo,,Me queda muy lejos,,Es más rápido andar en moto,,Nunca,En moto,,,,,11 cuadras,1.1,No
Vengo en bici para llegar a tiempo,,vivo en el otro extremo de la ciudad,,es más rápido que caminar,,Siempre,en bici,,,,,3 km,3,Si
Todos los días vengo en bici,,El frío,,Está oscuro,,Siempre,En bici,,,,,"3,5 km",3.5,No
Me da fiaca,,No me gusta andar en bici,,Está pinchada,,Nunca,en moto o caminando,,,,,1 km,1,No
Tiempo,,Vivo lejos,,Estado de las calles,,Nunca,En moto o a pie,,,,,2 km,2,Si
Distancia,,Cansancio,,Falta de tiempo,,A veces,En moto o bici,,,,,2 km,2,No
No me gusta andar en bici,,Vivo muy lejos,,La moto es más cómoda,,Nunca,en moto,,,,,6 km,6,No
Me canso más,,No me gusta,,La moto es más práctica,,Nunca,En moto,,,,,7 cuadras,0.7,No
Me queda lejos,,Llego con mucho calor,,La moto es más rápida,,Nunca,En moto,,,,,"1,5 km",1.5,Si
Me da fiaca,,Vivo cerca,,Las calles están en mal estado,,Nunca,En moto,,,,,5 cuadras,0.5,Si
No tengo bici ,,Vivo cerca,,Las calles no están en muy buen estado,,Nunca,caminado,,,,,4 cuadras,0.4,Si
Los autos no respetan las bicis,,El mal estado de las calles,,Las distancias,,Siempre,En bici,,,,,1 km,1,No
Porque vivo lejos,,No tengo bici,,Llegaría muy tarde,,Nunca,En moto,,,,,2 km,2,No se
No tengo bici ,,Termino tarde de comer y llegaría tarde,,Llegaría sucia al liceo,,Nunca,en moto,,,,,4 km,4,No
Vivo lejos ,,No tngo ganas de venir en bici,,Llegaría tarde,,A veces,En moto,,,,,16 cuadras,1.6,No se
Me canso,,Lleva más tiempo ( tengo moto),,Llego con calor,,Nunca,en moto,,,,,9 cuadras,0.9,Si
No tengo bici ,,Me gusta dormir hasta último momento,,Llego más rápido en moto,,Nunca,En moto,,,,,1 km,1,No
No tengo bici ,,Vivo lejos,,Llego más rápido en moto,,Nunca,En moto,,,,,3 km,3,No se
Vivo lejos ,,Me canso mucho,,Llego tarde,,Nunca,en auto,,,,,10 cuadras,1,No
No tengo bici ,,Vivo lejos,,Llego tarde,,Nunca,en moto,,,,,2 km,2,Si
Vivo lejos ,,La ruta está destruida,,Me canso,,Nunca,en moto,,,,,5 km,5,No
Vivo lejos ,,Llego tarde,,Me canso,,Nunca,En ómnibus,,,,,20 km,20,No se
El tiempo que demoro,,Vivo lejos,,Me canso,,Nunca,En moto,,,,,"1,5 Km",1.5,No
Vivo lejos,,Me da fiaca,,Me canso mucho,,Nunca,En moto,,,,,7 km,7,No
Me resulta más fácil venir en moto,,No me gusta andar en bici,,Me canso y tardo más,,Nunca,En moto,,,,,5 cuadras,0.5,No se
Tengo bici,,Vivo cerca,,Me gusta andar en bici,,Siempre,En bici,,,,,7 cuadras,0.7,No
Tengo bici,,Vivo cerca,,Me gusta hacer deporte,,Siempre,En bici,,,,,7 cuadras,0.7,Si
Me queda cerca el liceo,,El tráfico,,Me la pueden robar,,Nunca,Caminando,,,,,6 cuadras,0.6,No
Me canso,,Llego al liceo con calor,,Me lleva más tiempo,,Nunca,en moto,,,,,6 cuadras,6,No
Me resulta cómodo,,Es el único transporte que tengo,,Me queda lejos para venir camiando,,Siempre,En bici,,,,,15 cuadras,1.5,No
Me queda lejos,,Llego tarde,,Me resulta más cómo otro transporte,,Nunca,En moto,,,,,23 cuadras,2.3,No
Vivo lejos ,,No tengo bici,,Me resulta màs còmodo la moto,,Nunca,en moto ,,,,,5km,5,No
No tengo bici ,,Me levanto tarde,,Me resulta más práctico venir en moto,,Nunca,En moto,,,,,14 cuadras,1.4,No
Vivo lejos ,,Me da peresa,,Me tendría que levantar más temprano,,Nunca,en moto,,,,,3 km,3,No se
Vivo lejos ,,Soy pobre,,Me tendría que levantar más temprano,,Nunca,En moto,,,,,5 km,5,No se
Distancia,,No tengo,,Miedo a la ruta,,Nunca,En combi,,,,,11 km,11,No se
No tengo candado para al bici,,No me gusta andar en bici,,Mis compañeros vienen en moto y me sumo a ellos,,A veces,en moto,,,,,10 cuadras,1,No se
Vivo lejos,,Falta de tiempo,,Muchas cosas para traer,,Nunca,En auto,,,,,20 cuadras,2,No
No tengo ganas,,No tengo bici,,Mucho calor,,Nunca,en moto,,,,,3 km,3,No
Calles en malas condiciones,,Seguridad,,Mucho sudor,,Nunca,en moto,,,,,15 km,15,Si
"Porque vivo a 3,5 k",,Me queda más cómodo andar en moto,,No es de  mi preferencia andar en bici,,Nunca,en moto,,,,,"3,5 km",3.5,No
Vivo muy lejos,,Tengo la bici rota,,No es seguro viajar en la ruta en bici,,Nunca,En auto,,,,,7 km,7,No
No tengo bici ,,No me da el tiempo,,No esotoy acostumbrada,,Nunca,en moto,,,,,2km,2,No
Es más cómodo,,Llego más rápido,,No me canso,,A veces,"Moto, auto, bici, a pie",,,,,15 cuadras,1.5,No se
Vivo lejos ,,Tengo moto,,No me da el tiempo,,Nunca,en moto,,,,,1 km,1,No se
Me queda lejos el liceo,,No tengo bici,,No me dan ganas,,Nunca,en moto,,,,,10 cuadras,1,No
Llego más rápido en moto,,Me queda incómodo andar en bici,,no me dan ganas de pedalear,,Nunca,En moto,,,,,25 cuadras,2.5,Si
Porque vivo lejos,,Me queda más cómodo venir en moto,,No me gusta andar en bici,,Nunca,en moto,,,,,5 km,5,No
No me gusta,,Me levanto con  fiaca,,No me gusta andar en bici,,Nunca,En moto,,,,,7 cuadras,0.7,No se
Vivo lejos ,,Tengo moto,,No me gusta andar en bici,,Nunca,en moto,,,,,2 km,2,No se
No vengo en bici porque demoro más,,Me la pueden robar,,No me gusta andar en bici,,Nunca,En moto,,,,,10 cuadras,1,Si
No tengo bici,,No me dan los tiempos,,No me gusta andar en bici,,Nunca,En moto o auto,,,,,16 cuadras,1.6,No se
Me canso,,Me queda lejos,,No me gusta andar en bici,,Nunca,En moto,,,,,10 cuadras,1,No
No tengo bici,,Vivo cerca,,No me gusta andar en bici,,Nunca,Caminando,,,,,7 cuadras,0.7,Si
No tengo bici,,Hace frío en invierno,,No me gusta mucho,,Nunca,En moto,,,,,9 cuadras,0.9,No
me gusta más caminar que andar en bici,,ya tengo organizado el tiempo que demoro caminando,,no me gusta mucho la bici,,Nunca,caminando,,,,,6 cuadras,0.6,Si
Vengo en bici porque me queda cómodo,,Vivo lejos por eso vengo en bici,,No necesito combustible para andar ,,Siempre,En bici,,,,,16 cuadras,1.6,Si
Vivo lejos por eso vengo en bici,,Me queda cómodo,,No necesito nafta,,Siempre,En bici,,,,,21 cuadras,2.1,No se
Vivo lejos ,,es más rápida la moto,,no quiero llegar tarde,,Nunca,en moto,,,,,3 km,3,Si
Vivo cerca,,No me gusta ,,no tengo bici,,Nunca,caminando,,,,,4 cuadras,0.4,Si
No tengo ganas,,No me gusta andar en bici,,No tengo bici,,Nunca,en moto,,,,,2 km,2,Si
Vivo en zona rural,,Viajo en ómnibus,,No tengo bici,,Nunca,En ómnibus,,,,,6 km,6,No se
Me queda muy lejos,,Tengo miedo que me la roben,,No tengo bici,,Nunca,En moto,,,,,"1,4 km",1.4,No
Porque tengo moto,,Es más prático,,No tengo bici,,Nunca,En moto,,,,,6 cuadras,0.6,No
Vivo en el campo,,Me da miedo andar en la ruta,,No tengo bici propia la comparto,,Nunca,En ómnibus,,,,,7 km,7,No
Mi casa queda lejos del liceo,,No tengo tiempo,,No tengo ganas,,A veces,en auto o  bici,,,,,1 km,1,Si
tengo miedo a que me la roben,,Mal estado de las calles,,No tengo luz para regresar a casa,,Siempre,en bici,,,,,7 cuadras,0.7,Si
Tengo moto,,Me da fiaca,,No tengo tiempo,,Nunca,En moto,,,,,20 cuadras,2,Si
Me queda lejos ,,No tengo bici,,No tengo tiempo,,Nunca,en moto,,,,,3 km,3,No
vivo en otra ciudad,,Me levanto tarde,,No tengo tiempo,,Nunca,en ómnibus,,,,,20 km,20,No
Está desinflada,,Es más cómodo venir en moto,,No traigo la bici al liceo proque tengo miedo que me la roben,,Nunca,En moto,,,,,5 cuadras,0.5,Si
Me canso ,,Hace calor al entrar,,No vivo cerca,,A veces,en moto y bici,,,,,15 cuadras,1.5,No
Porque soy de N. Palmira,,Me queda muy lejos,,Perdería mucho tiempo,,Nunca,En ómnibus,,,,,20 km,20,No
Está en repación ,,Porque vivo a 3 km,,Porque vengo en moto,,Nunca,en moto,,,,,"3,5 km",3.5,No
Tiempo,,Llego tarde a clase,,Practicidad,,A veces,caminando o en bici,,,,,6 cuadras,0.6,No
No me gusta andar en moto,,Tuve un accidentente,,Prefiero la bici,,Siempre,en bici,,,,,18 cuadras,1.8,Si
