Year,Winners,Final score[3],Runners-up,Venue,Location,Attendance,References
Uruguay,4–2,Argentina,Estadio Centenario,"Uruguay, Montevideo !Montevideo, Uruguay","80,000",[8][9]
Italy,2–1  [n 3],Czechoslovakia,Stadio Nazionale PNF,"Italy, Rome !Rome, Italy","50,000",[10][11]
Italy,4–2,Hungary,Stade Olympique de Colombes,"France, Paris !Paris, France","45,000",[12][13]
Uruguay,2–1  [n 4],Brazil,Estádio do Maracanã,"Brazil, Rio de Janeiro !Rio de Janeiro, Brazil","174,000",[14][15]
West Germany,3–2,Hungary,Wankdorf Stadium,"Switzerland, Bern !Bern, Switzerland","60,000",[16][17]
Brazil,5–2,Sweden,Råsunda Stadium,"Sweden, Solna !Solna, Sweden","51,800",[18][19]
Brazil,3–1,Czechoslovakia,Estadio Nacional,"Chile, Santiago !Santiago, Chile","69,000",[20][21]
England,4–2  [n 5],West Germany,Wembley Stadium,"England, London !London, England","93,000",[22][23]
Brazil,4–1,Italy,Estadio Azteca,"Mexico, Mexico City !Mexico City, Mexico","107,412",[24][25]
West Germany,2–1,Netherlands,Olympiastadion,"West Germany, Munich !Munich, West Germany","75,200",[26][27]
Argentina,3–1  [n 6],Netherlands,Estadio Monumental,"Argentina, Buenos Aires !Buenos Aires, Argentina","71,483",[28][29]
Italy,3–1,West Germany,Santiago Bernabéu,"Spain, Madrid !Madrid, Spain","90,000",[30][31]
Argentina,3–2,West Germany,Estadio Azteca,"Mexico, Mexico City !Mexico City, Mexico","114,600",[32][33]
West Germany,1–0,Argentina,Stadio Olimpico,"Italy, Rome !Rome, Italy","73,603",[34][35]
Brazil,0–0  [n 7],Italy,Rose Bowl,"United States, Pasadena, California !Pasadena, California, United States","94,194",[36][37]
France,3–0,Brazil,Stade de France,"France, Saint-Denis !Saint-Denis, France","80,000",[38][39]
Brazil,2–0,Germany,International Stadium Yokohama,"Japan, Yokohama !Yokohama, Japan","69,029",[40][41]
Italy,1–1  [n 8],France,Olympiastadion,"Germany, Berlin !Berlin, Germany","69,000",[42][43]
Spain,1–0  [n 9],Netherlands,Soccer City,"South Africa, Johannesburg !Johannesburg, South Africa","84,490",[44][45]
Germany,1–0  [n 10],Argentina,Estádio do Maracanã,"Brasil, Rio de Janeiro !Rio de Janeiro, Brazil","74,738",[46][47]
